,City_Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
314,"luwingu,zm",70.08,90.0,20.0,2.71,-10.26,29.92
316,"pimenta bueno,br",71.21,97.0,44.0,2.08,-11.68,-61.19
317,"honiara,sb",86.0,66.0,40.0,3.36,-9.43,159.96
318,"jacobina,br",68.1,79.0,44.0,8.3,-11.19,-40.51
319,"aklavik,ca",12.2,85.0,5.0,5.82,68.22,-135.01
320,"talnakh,ru",-29.73,0.0,0.0,3.87,69.49,88.39
321,"komsomolskiy,ru",20.94,91.0,64.0,10.92,67.55,63.78
322,"berlevag,no",30.21,100.0,8.0,15.17,70.86,29.09
323,"bongandanga,cd",72.83,96.0,68.0,3.31,1.51,21.07
324,"yenagoa,ng",75.08,94.0,76.0,5.77,4.92,6.26
325,"biak,id",86.33,84.0,8.0,3.2,-0.91,122.88
326,"rantauprapat,id",84.84,61.0,64.0,3.6,2.1,99.83
327,"banda aceh,id",80.52,86.0,64.0,4.88,5.56,95.32
329,"bontang,id",85.83,90.0,32.0,7.0,0.12,117.47
330,"el paujil,co",65.76,94.0,24.0,2.04,1.57,-75.33
331,"kudahuvadhoo,mv",79.58,100.0,68.0,8.08,2.67,72.89
332,"touros,br",77.1,96.0,68.0,10.42,-5.2,-35.46
333,"amapa,br",72.33,100.0,68.0,3.76,-1.83,-56.23
334,"camopi,gf",71.66,99.0,92.0,2.3,3.17,-52.33
336,"boa vista,br",77.0,83.0,40.0,8.05,2.82,-60.67
337,"kapchorwa,ug",69.63,70.0,0.0,1.59,1.4,34.45
339,"acapulco,mx",77.0,94.0,40.0,4.05,16.86,-99.88
341,"puerto baquerizo moreno,ec",71.3,100.0,56.0,8.57,-0.9,-89.6
342,"manokwari,id",83.0,100.0,20.0,3.38,-0.87,134.08
343,"winneba,gh",77.0,61.0,68.0,6.93,5.35,-0.62
344,"buala,sb",84.53,82.0,56.0,3.76,-8.15,159.59
345,"bunia,cd",71.25,75.0,12.0,4.21,1.56,30.25
347,"anloga,gh",69.8,94.0,20.0,4.7,5.79,0.9
348,"camocim,br",77.96,83.0,88.0,10.31,-2.9,-40.84
349,"matara,lk",81.96,100.0,8.0,2.48,5.95,80.54
350,"ventspils,lv",35.6,93.0,90.0,8.05,57.39,21.56
351,"visnes,no",48.2,100.0,75.0,21.92,59.36,5.22
352,"kodinsk,ru",7.44,68.0,56.0,7.29,58.6,99.18
353,"fort nelson,ca",10.4,85.0,40.0,5.82,58.81,-122.69
354,"juneau,us",22.93,100.0,1.0,2.53,58.3,-134.42
355,"teguldet,ru",10.77,79.0,88.0,3.53,57.31,88.17
356,"ust-ilimsk,ru",7.76,66.0,68.0,7.85,57.96,102.73
357,"kropotkin,ru",22.16,92.0,88.0,6.33,45.43,40.58
358,"okhotsk,ru",-26.13,100.0,0.0,7.63,59.36,143.24
359,"slave lake,ca",17.6,85.0,90.0,21.92,55.28,-114.77
360,"ossora,ru",-17.45,100.0,0.0,5.1,59.24,163.07
361,"turinsk,ru",13.38,82.0,64.0,6.85,58.04,63.7
362,"tigil,ru",-1.74,58.0,12.0,6.73,57.8,158.67
363,"krasnomayskiy,ru",17.6,72.0,90.0,8.95,55.0,82.52
364,"tilichiki,ru",-34.41,0.0,0.0,2.75,60.47,166.1
365,"kez,ru",14.33,88.0,64.0,4.76,57.9,53.72
366,"ust-maya,ru",-40.44,0.0,68.0,3.09,60.42,134.54
367,"peterhead,gb",55.4,71.0,56.0,14.99,57.51,-1.8
368,"dno,ru",26.52,86.0,64.0,6.73,57.83,29.97
369,"parabel,ru",14.96,83.0,68.0,4.27,58.71,81.5
370,"ilebo,cd",71.48,100.0,100.0,1.7,-4.33,20.59
371,"port-gentil,ga",78.8,94.0,75.0,2.24,-0.72,8.78
372,"meulaboh,id",82.23,100.0,80.0,1.7,4.14,96.13
373,"martapura,id",91.4,59.0,40.0,11.41,-3.41,114.85
374,"ambunti,pg",89.3,64.0,12.0,2.53,-4.22,142.82
375,"lagunas,pe",77.37,84.0,32.0,2.75,-5.23,-75.68
376,"auki,sb",82.95,100.0,8.0,2.75,-8.77,160.7
377,"barras,br",70.35,97.0,24.0,3.04,-4.24,-42.29
378,"arawa,pg",78.05,100.0,76.0,4.27,-6.23,155.57
379,"cabedelo,br",77.0,88.0,75.0,3.36,-6.97,-34.84
380,"tucurui,br",72.38,98.0,88.0,1.81,-3.77,-49.67
381,"altamira,br",73.14,97.0,88.0,2.19,-3.2,-52.21
382,"anori,br",71.52,98.0,92.0,2.86,-3.74,-61.66
383,"kiomboi,tz",72.78,74.0,8.0,3.98,-4.28,34.41
386,"nabire,id",79.13,79.0,80.0,2.75,-3.36,135.5
387,"rutana,bi",65.13,92.0,76.0,1.3,-3.93,29.99
388,"manacapuru,br",72.51,100.0,56.0,3.2,-3.3,-60.62
389,"kieta,pg",78.05,100.0,76.0,4.27,-6.22,155.63
390,"ibiapina,br",69.99,98.0,80.0,2.86,-3.92,-40.89
391,"kobylka,pl",35.6,100.0,75.0,9.17,52.34,21.2
392,"goedereede,nl",49.1,81.0,92.0,24.16,51.82,3.98
393,"mago,ru",-3.23,50.0,0.0,5.28,53.27,140.15
394,"orlik,ru",0.69,58.0,44.0,2.71,52.51,99.83
395,"quesnel,ca",-7.61,76.0,20.0,2.19,52.98,-122.49
396,"tashtyp,ru",24.09,73.0,92.0,9.01,52.8,89.89
397,"kyren,ru",6.41,61.0,8.0,2.37,51.68,102.13
398,"nerchinsk,ru",8.7,61.0,24.0,3.87,51.98,116.59
399,"nogliki,ru",5.82,100.0,0.0,7.9,51.8,143.14
400,"ponoka,ca",14.94,72.0,90.0,14.99,52.68,-113.59
401,"qostanay,kz",10.4,92.0,90.0,11.18,53.17,63.58
402,"oktyabrskiy,ru",24.8,92.0,90.0,8.95,55.61,37.97
403,"bonavista,ca",29.9,100.0,32.0,12.55,48.65,-53.11
404,"dingle,ie",51.18,94.0,92.0,13.15,52.14,-10.27
405,"lokot,ru",22.74,92.0,92.0,4.05,52.57,34.57
406,"biggar,ca",13.83,86.0,48.0,13.94,52.06,-107.98
407,"novosergiyevka,ru",16.13,87.0,76.0,6.89,52.08,53.65
409,"norwich,gb",48.2,93.0,75.0,13.87,52.63,1.29
410,"lac du bonnet,ca",1.68,68.0,48.0,7.56,50.25,-96.06
412,"petropavlovsk-kamchatskiy,ru",3.2,77.0,20.0,6.71,53.05,158.65
413,"kitimat,ca",15.8,66.0,5.0,18.34,54.02,-128.69
414,"lowestoft,gb",48.2,93.0,75.0,13.87,52.48,1.75
415,"novichikha,ru",17.07,84.0,92.0,12.03,52.2,81.39
416,"la montanita,co",73.95,85.0,64.0,2.48,1.48,-75.44
417,"thinadhoo,mv",81.96,100.0,0.0,4.05,0.53,72.93
418,"tshikapa,cd",72.38,97.0,64.0,2.82,-6.42,20.79
419,"gamba,ga",77.06,100.0,44.0,6.89,-2.72,10.02
420,"merauke,id",88.85,70.0,56.0,4.54,-8.49,140.4
421,"padang,id",77.28,100.0,88.0,6.89,-0.92,100.36
422,"mataram,id",79.8,88.0,80.0,3.2,-5.32,105.06
423,"mendi,pg",59.51,98.0,92.0,2.86,-6.14,143.66
424,"contamana,pe",75.75,90.0,12.0,2.19,-7.35,-75.01
425,"oeiras,br",70.58,88.0,64.0,4.88,-7.01,-42.13
427,"pitimbu,br",77.0,88.0,75.0,3.36,-7.47,-34.81
428,"sao geraldo do araguaia,br",71.97,96.0,12.0,2.86,-6.4,-48.55
429,"sao felix do xingu,br",71.79,100.0,64.0,2.19,-6.64,-51.99
430,"manicore,br",73.86,98.0,20.0,2.3,-5.81,-61.3
432,"tual,id",82.73,100.0,76.0,8.63,-5.67,132.75
433,"omboue,ga",79.8,100.0,36.0,3.71,-1.57,9.26
434,"karema,tz",68.64,92.0,76.0,2.98,-6.82,30.44
435,"lufilufi,ws",83.58,100.0,68.0,15.12,-13.87,-171.6
436,"pio ix,br",71.61,79.0,36.0,9.08,-6.83,-40.61
437,"skjervoy,no",34.4,100.0,88.0,6.22,70.03,20.97
438,"sorland,no",30.2,86.0,20.0,11.41,67.67,12.69
439,"norman wells,ca",10.4,92.0,75.0,2.24,65.28,-126.83
440,"deputatskiy,ru",-34.46,0.0,44.0,2.82,69.3,139.9
441,"srednekolymsk,ru",-16.86,74.0,80.0,5.99,67.46,153.71
443,"roald,no",44.6,81.0,75.0,12.75,62.58,6.12
444,"lavrentiya,ru",32.64,90.0,92.0,33.24,65.58,-170.99
445,"bud,no",43.99,70.0,75.0,19.46,62.91,6.91
447,"felanitx,es",41.0,100.0,20.0,4.76,39.47,3.15
448,"niigata,jp",46.4,81.0,75.0,8.05,37.91,139.04
449,"zhangye,cn",22.92,64.0,44.0,9.75,38.94,100.46
450,"rohnert park,us",43.57,75.0,1.0,5.82,38.34,-122.7
451,"jinchang,cn",23.06,53.0,32.0,16.46,38.52,102.19
452,"botou,cn",45.24,32.0,64.0,4.54,38.08,116.55
453,"kamaishi,jp",44.6,52.0,20.0,5.82,39.28,141.86
454,"salisbury,us",50.61,100.0,90.0,4.7,38.37,-75.6
455,"ofunato,jp",44.6,52.0,20.0,5.82,39.11,141.75
456,"cedar city,us",24.8,58.0,1.0,4.7,37.68,-113.06
457,"sayat,tm",50.0,57.0,0.0,6.93,38.78,63.88
458,"rabo de peixe,pt",60.8,87.0,40.0,5.82,37.8,-25.58
459,"liverpool,ca",29.67,100.0,92.0,9.31,44.04,-64.71
460,"nigde,tr",45.83,64.0,44.0,10.65,37.97,34.68
461,"montrose,us",24.71,63.0,90.0,2.82,38.48,-107.88
462,"gumdag,tm",44.16,90.0,12.0,4.61,39.2,54.59
463,"centralia,us",35.06,93.0,90.0,8.05,46.72,-122.96
465,"ottawa,us",25.54,85.0,40.0,8.05,38.62,-95.27
466,"dinar,tr",47.35,100.0,90.0,13.87,38.07,30.16
467,"aksu,cn",18.96,83.0,0.0,3.76,41.12,80.26
468,"melaka,my",86.0,70.0,75.0,5.82,2.19,102.26
469,"tarakan,id",84.84,90.0,80.0,3.38,3.3,117.63
470,"el doncello,co",71.7,92.0,12.0,1.52,1.68,-75.28
471,"nakapiripirit,ug",69.5,54.0,0.0,3.98,1.81,34.71
472,"hobyo,so",78.45,72.0,88.0,24.56,5.35,48.53
474,"fairbanks,us",-0.48,84.0,1.0,2.37,64.84,-147.72
475,"clyde river,ca",-20.21,75.0,75.0,11.41,70.47,-68.59
476,"bilibino,ru",-33.78,0.0,64.0,2.86,68.06,166.44
477,"aasiaat,gl",19.05,100.0,64.0,14.94,68.71,-52.87
478,"polyarnyy,ru",-4.01,76.0,0.0,2.24,69.2,33.45
479,"ust-kuyga,ru",-31.89,54.0,68.0,4.76,70.0,135.55
480,"vadso,no",12.2,92.0,0.0,12.75,70.07,29.75
482,"skelleftea,se",30.2,92.0,90.0,11.41,64.75,20.95
483,"raudeberg,no",44.6,100.0,92.0,14.99,61.99,5.14
484,"khandyga,ru",-51.87,0.0,36.0,2.86,62.65,135.58
485,"mayo,ca",-27.41,74.0,5.0,2.86,63.59,-135.9
486,"tura,ru",-11.06,53.0,32.0,4.5,64.27,100.22
487,"turukhansk,ru",-1.43,58.0,88.0,12.77,65.8,87.96
488,"nyurba,ru",-27.35,42.0,56.0,3.71,63.29,118.35
489,"ust-nera,ru",-46.92,0.0,44.0,1.97,64.57,143.24
490,"iqaluit,ca",-18.41,75.0,5.0,4.7,63.75,-68.52
492,"muzhi,ru",10.01,68.0,36.0,5.77,65.4,64.7
493,"dukat,ru",-36.3,0.0,24.0,2.59,62.55,155.55
495,"nuuk,gl",28.4,68.0,92.0,9.17,64.17,-51.74
496,"maniitsoq,gl",21.98,92.0,92.0,5.88,65.42,-52.9
498,"pangnirtung,ca",-4.26,79.0,44.0,11.36,66.15,-65.72
499,"kem,ru",19.91,96.0,0.0,7.9,64.96,34.58
500,"college,us",-0.48,84.0,1.0,2.37,64.86,-147.8
501,"izhma,ru",21.48,89.0,76.0,4.38,65.01,53.91
502,"anadyr,ru",-5.81,83.0,90.0,13.42,64.73,177.51
503,"egvekinot,ru",29.9,92.0,88.0,9.86,66.32,-179.17
504,"kostomuksha,ru",16.8,83.0,20.0,6.89,64.59,30.6
505,"nome,us",47.73,93.0,90.0,13.87,30.04,-94.42
506,"evensk,ru",-11.91,100.0,32.0,6.55,61.92,159.24
509,"tessalit,ml",41.82,60.0,0.0,13.78,20.2,1.01
510,"naze,jp",66.2,52.0,75.0,10.29,28.37,129.48
511,"mae sai,th",73.4,56.0,0.0,4.7,20.43,99.88
512,"harindanga,in",75.2,57.0,0.0,6.93,22.04,88.32
514,"jieshi,cn",69.27,77.0,20.0,10.8,22.82,115.83
515,"sagua de tanamo,cu",70.58,90.0,88.0,4.61,20.58,-75.24
516,"pasni,pk",72.83,77.0,0.0,5.99,25.26,63.48
517,"ponta do sol,cv",72.33,100.0,68.0,25.08,17.2,-25.09
518,"saint-francois,gp",75.2,83.0,75.0,5.82,16.25,-61.27
520,"nouadhibou,mr",60.8,79.0,24.0,20.8,20.93,-17.03
521,"the valley,ai",79.62,98.0,92.0,17.58,18.22,-63.06
523,"abu dhabi,ae",65.19,100.0,75.0,3.36,24.47,54.37
524,"acanceh,mx",69.8,88.0,20.0,9.17,20.81,-89.45
525,"nishihara,jp",54.18,37.0,1.0,4.7,35.74,139.53
526,"vega de alatorre,mx",64.1,91.0,0.0,3.2,20.03,-96.65
527,"marawi,sd",65.0,54.0,0.0,8.41,18.48,31.82
529,"balod,in",78.09,54.0,0.0,7.0,20.73,81.21
530,"sungaipenuh,id",71.88,90.0,48.0,2.53,-2.08,101.38
531,"barabai,id",88.8,64.0,36.0,4.05,-2.59,115.38
532,"wewak,pg",84.3,78.0,36.0,3.04,-3.55,143.63
533,"matias olimpio,br",72.87,99.0,68.0,3.04,-3.72,-42.56
535,"ruyigi,bi",64.77,81.0,48.0,2.37,-3.47,30.25
536,"tiangua,br",71.7,91.0,80.0,2.75,-3.73,-40.99
537,"boende,cd",73.41,96.0,44.0,3.38,-0.28,20.88
538,"payakumbuh,id",81.96,82.0,48.0,3.38,-0.23,100.63
539,"sijunjung,id",78.27,76.0,48.0,4.72,-0.69,100.95
540,"loa janan,id",88.53,67.0,68.0,3.53,-0.58,117.09
541,"aitape,pg",84.03,88.0,8.0,5.55,-3.15,142.36
542,"puerto leguizamo,co",74.4,95.0,8.0,2.26,-0.19,-74.78
543,"coahuayana,mx",58.92,80.0,24.0,2.53,18.62,-100.35
545,"tutoia,br",78.68,82.0,68.0,10.25,-2.76,-42.27
547,"almeirim,br",75.8,93.0,36.0,3.04,-1.53,-52.58
548,"barcelos,br",73.73,99.0,64.0,2.71,-0.97,-62.93
549,"mazagao,br",77.0,100.0,0.0,4.7,-0.12,-51.29
550,"yala,ke",75.2,44.0,0.0,8.05,0.09,34.54
553,"mumford,gh",73.32,99.0,68.0,3.98,5.26,-0.76
554,"kilembe,ug",68.46,95.0,24.0,3.53,0.2,30.01
555,"karla,ee",32.0,100.0,0.0,10.29,59.37,24.93
556,"solnechnyy,ru",-3.45,75.0,8.0,4.38,50.72,136.64
557,"hay river,ca",-5.81,76.0,90.0,6.93,60.82,-115.79
558,"tabory,ru",24.8,100.0,90.0,4.47,64.46,39.75
559,"talaya,ru",11.9,88.0,80.0,10.09,55.79,84.89
560,"khvoynaya,ru",25.13,94.0,88.0,5.32,58.9,34.53
561,"homer,us",39.92,48.0,1.0,14.99,59.64,-151.54
562,"la ronge,ca",3.2,77.0,90.0,6.93,55.1,-105.3
563,"yurla,ru",16.26,81.0,76.0,4.21,59.33,54.32
564,"lerwick,gb",50.0,93.0,88.0,28.86,60.15,-1.15
565,"druzhnaya gorka,ru",30.2,86.0,75.0,8.95,59.28,30.14
567,"portland,au",77.78,52.0,48.0,2.82,-33.35,149.98
568,"burnie,au",63.38,95.0,68.0,25.19,-41.05,145.91
569,"te anau,nz",63.2,55.0,80.0,7.63,-45.41,167.72
570,"viedma,ar",56.18,58.0,88.0,9.31,-40.81,-62.99
571,"rakaia,nz",62.6,77.0,0.0,21.92,-43.76,172.02
572,"amberley,nz",62.6,77.0,20.0,21.92,-43.15,172.73
573,"christchurch,nz",64.4,72.0,0.0,23.04,-43.53,172.64
575,"beziers,fr",42.58,87.0,0.0,9.17,43.35,3.22
576,"iwanai,jp",37.05,100.0,68.0,14.16,42.97,140.51
577,"hovd,mn",9.11,61.0,0.0,2.3,48.01,91.64
578,"springfield,us",32.0,100.0,90.0,12.75,37.22,-93.29
579,"north bend,us",42.8,87.0,75.0,6.93,43.41,-124.22
581,"mujiayingzi,cn",32.15,36.0,0.0,11.88,42.12,118.78
582,"otofuke,jp",32.0,96.0,20.0,2.24,43.02,143.2
583,"rome,us",58.98,97.0,90.0,6.93,34.26,-85.16
584,"furano,jp",32.0,89.0,75.0,9.17,43.28,142.47
585,"blackfoot,us",27.72,100.0,90.0,19.46,43.19,-112.35
587,"praia da vitoria,pt",60.8,93.0,20.0,12.1,38.73,-27.07
588,"bay roberts,ca",23.0,79.0,40.0,16.11,47.58,-53.28
589,"port hawkesbury,ca",10.4,85.0,1.0,5.06,45.62,-61.36
591,"worland,us",12.2,92.0,90.0,5.82,44.02,-107.96
592,"zhanaozen,kz",29.45,91.0,8.0,11.77,43.35,52.85
593,"portage,us",34.5,86.0,90.0,3.04,42.2,-85.58
594,"preobrazheniye,ru",29.67,56.0,0.0,1.7,42.9,133.91
595,"cugnaux,fr",44.6,93.0,90.0,8.05,43.54,1.35
596,"spencer,us",16.59,85.0,40.0,12.75,43.14,-95.14
597,"sfantu gheorghe,ro",27.5,92.0,64.0,8.05,44.65,26.83
598,"port hardy,ca",28.4,74.0,5.0,4.7,50.7,-127.42
599,"castres,fr",46.4,87.0,90.0,11.41,43.6,2.24
600,"yining,cn",56.18,50.0,76.0,2.71,29.04,114.56
601,"jalu,ly",56.58,68.0,92.0,16.69,29.03,21.55
602,"shingu,jp",53.6,54.0,75.0,11.41,33.72,135.99
603,"simao,cn",65.67,60.0,0.0,2.37,22.76,100.79
604,"bheramara,bd",74.04,93.0,12.0,4.54,24.02,89.0
605,"zhoucheng,cn",56.9,53.0,68.0,4.09,31.35,119.33
606,"chaozhou,cn",73.4,49.0,75.0,4.47,23.66,116.62
607,"tateyama,jp",53.6,54.0,40.0,4.7,36.66,137.31
608,"clarence town,bs",76.61,100.0,32.0,12.93,23.1,-74.98
609,"aswan,eg",68.0,77.0,0.0,6.93,24.09,32.9
610,"eldorado,mx",64.59,80.0,36.0,4.76,24.32,-107.36
611,"progreso,mx",44.93,84.0,12.0,1.59,20.25,-99.19
612,"nuevo progreso,mx",73.28,91.0,32.0,2.08,17.14,-95.05
613,"jaisinghnagar,in",68.46,62.0,76.0,4.5,23.63,78.57
614,"kidal,ml",46.77,39.0,0.0,13.6,18.44,1.41
615,"pong,th",87.8,43.0,20.0,6.93,12.95,100.98
617,"phonhong,la",84.2,42.0,0.0,2.24,18.5,102.42
618,"santiago de cuba,cu",71.6,78.0,20.0,6.93,20.03,-75.83
619,"santa maria,cv",69.8,60.0,75.0,23.04,16.6,-22.9
620,"tomatlan,mx",69.05,71.0,92.0,2.37,19.93,-105.25
621,"nicolas bravo,mx",42.36,96.0,24.0,2.3,24.39,-104.74
622,"mundo nuevo,mx",73.4,83.0,5.0,9.17,18.09,-94.39
623,"gidam,in",75.57,67.0,0.0,4.38,18.98,81.4
624,"ancud,cl",44.79,86.0,48.0,2.98,-41.87,-73.83
626,"seddon,nz",66.03,74.0,0.0,2.53,-41.67,174.07
627,"saldanha,za",60.36,91.0,80.0,2.75,-33.01,17.94
628,"hanmer springs,nz",63.78,87.0,76.0,2.59,-42.52,172.83
